Index,Name,Brand,Price,Stock,Color,Internal ID
1,Compact Printer Air Advanced Digital,"Garner, Boyle and Flynn",265,774,ForestGreen,56
2,Tablet,Mueller Inc,502,81,Black,29
3,Smart Blender Cooker,Shea Ltd,227,726,SlateGray,70
4,Advanced Router Rechargeable,Gallagher and Sons,121,896,PaleGreen,31
5,Portable Mouse Monitor Phone,Irwin LLC,1,925,SeaShell,10
6,Radio,Henry Group,426,549,CornflowerBlue,60
7,Ultra Projector Oven Thermostat Prime Advanced,"Mccoy, Waters and Rose",68,870,Purple,86
8,Webcam Stove Grill,Morrow and Sons,159,584,MediumOrchid,50
9,Eco Radio,"Edwards, Odonnell and Conley",454,499,DimGray,88
10,Ultra Powerbank Brush Charger Max,"Brennan, Archer and Rosales",845,564,Silver,88
11,Wireless Dock,Russo-West,257,168,Wheat,30
12,Fast Camera Router Fan Smart,Vazquez and Sons,221,672,MidnightBlue,32
13,Heater Radio,Delgado-Blackwell,689,156,Orange,57
14,Smart Trimmer Webcam Heater,Contreras PLC,279,818,Gainsboro,66
15,Webcam Dock Heater,"Juarez, Powell and Travis",101,159,Sienna,88
16,Automatic Watch Lite Sense,"Reid, Chase and Ballard",316,329,Tan,44
17,Eco Iron Monitor Air,Barker-Murphy,982,47,OliveDrab,79
18,Digital Tablet Router Printer Lite,Vazquez-Smith,3,732,LemonChiffon,87
19,Eco Freezer Powerbank Watch,"Pruitt, Higgins and Barnett",340,618,Cyan,21
20,Cooler Fan,Bray LLC,529,844,Bisque,22
21,Portable Camera Plus Air Ultra,Wang-Valenzuela,197,163,Magenta,96
22,Wireless Powerbank 360 Advanced Ultra,Carney Ltd,677,418,Beige,90
23,Rechargeable Lamp Speakerphone Headphones,"Gallegos, Osborne and Carpenter",664,577,DarkBlue,26
24,Mini Scooter Microphone,"Douglas, Thornton and Soto",784,510,DimGray,55
25,Rechargeable Webcam Stove Grill,Horn-Pope,900,623,PaleGreen,47
26,Mini Iron Drone Wireless Pro,Khan-Parrish,909,797,CadetBlue,93
27,Portable Freezer Phone Automatic Smart,Burton PLC,350,756,Snow,61
28,Wireless Webcam Stove Grill,Henry Group,858,912,LightSalmon,43
29,Clock Brush,Larson-Spence,985,180,SaddleBrown,40
30,Keyboard Toaster Monitor,Bonilla-Spears,576,988,DarkSlateGray,40
31,Silent Printer Fan Shaver,Love LLC,102,669,MediumSpringGreen,14
32,Wireless Scooter Clean Mini,Terry-Oliver,283,343,MintCream,84
33,Advanced Microphone Cooler Eco,,904,532,LightCyan,86
34,Automatic Brush Fast Eco,Newman Ltd,407,285,SeaGreen,65
35,Premium Bicycle Microphone,"Novak, Archer and Walton",480,364,AliceBlue,78
36,Smart Phone Scooter Clean,Marshall-Dougherty,635,727,MediumVioletRed,74
37,Bicycle,Hays-Cunningham,234,394,White,48
38,Ultra Dock Trimmer Automatic Edge,Barnes-Glass,640,780,LightBlue,96
39,Wireless Tablet Router Printer Wireless Premium Air,Meyers-Hess,781,947,BlanchedAlmond,69
40,Clean Printer Advanced Premium Sense,Williamson PLC,913,820,Moccasin,77
41,Silent Dock Fast,"May, Hendrix and Robbins",100,802,CadetBlue,12
42,Ultra Speakerphone Oven Go Smart X,Henry Group,999,853,MediumOrchid,23
43,Rechargeable Projector Pro,"Levine, Martin and Mccann",935,55,SlateBlue,52
44,Eco Vacuum,Werner PLC,259,668,LightCoral,45
45,Smart Grill Tablet Fridge Go Smart Smart,"Huff, Cameron and Stephenson",488,966,Cornsilk,62
46,Digital Stove Silent Pro,Shea Ltd,161,349,OrangeRed,9
47,Portable Powerbank X Air,Hanson-Schultz,599,263,Moccasin,17
48,Clock,"Malone, Jacobson and Hudson",731,664,FloralWhite,55
49,Radio Treadmill,Barron-Little,511,395,Violet,14
50,Ultra Cooler Treadmill Touch Pro Ultra,Bonilla-Oconnell,214,574,NavajoWhite,33
51,Mini Fridge Camera,Decker and Sons,777,832,PaleGoldenRod,16
52,Rechargeable Tablet Plus Portable Mini,Mooney-Gonzales,820,535,Cyan,19
53,Tablet,"Blake, Weiss and Montgomery",408,922,Chocolate,34
54,Wireless Light Toaster Lite Touch Eco,Singleton PLC,791,827,Fuchsia,64
55,Scooter,Rivas Group,370,601,DarkOrchid,46
56,Advanced Camera Heater Webcam X Ultra Prime,Cervantes Ltd,224,372,Peru,56
57,Ultra Keyboard Compact Eco,"Novak, Archer and Walton",514,491,LightGray,19
58,Portable Scale Speaker Powerbank Clean,Morris LLC,689,332,PowderBlue,94
59,Oven Speaker Fan,Schwartz Ltd,489,423,GoldenRod,99
60,Automatic Speaker Router Lamp Prime,"Sexton, Dickerson and Blair",621,667,FireBrick,61
61,Smart Webcam Projector Lock,Stokes Inc,440,973,SteelBlue,3
62,Fast Fan,Ali-Oliver,982,804,DarkOrchid,70
63,Automatic Cooler Edge,"Odonnell, Boyle and Oconnor",124,513,LimeGreen,83
64,Advanced Freezer Advanced Advanced,Gill LLC,489,561,Tomato,48
65,Silent Trimmer Shaver Fast,Munoz Group,130,876,DarkSlateGray,76
66,Treadmill,"Frost, Christensen and Burnett",731,744,Cyan,70
67,Mini Charger Lock Oven Sense Sense,"Burton, Gross and Giles",750,623,Olive,81
68,Thermostat Trimmer,"Hester, Love and Lynch",206,677,MidnightBlue,6
69,Clean Iron Premium Air Wireless,"Shepherd, Greene and House",293,700,GhostWhite,5
70,Compact Mouse Mouse Router Mini,Barry PLC,5,247,PapayaWhip,79
71,Premium Lock Mini Advanced,"Elliott, Mcfarland and Duran",12,439,Plum,40
72,Silent Webcam Webcam Treadmill Sense Portable Advanced,George-Day,148,650,Aqua,29
73,Compact Thermostat Oven,Hull Inc,685,747,SaddleBrown,36
74,Wireless Watch Tablet Printer Automatic Eco Sense,Fleming Inc,59,169,Sienna,31
75,Automatic Blender,"Novak, Archer and Walton",630,438,LightGoldenRodYellow,4
76,Rechargeable Webcam Dock Heater,Kennedy-Gordon,800,151,Brown,66
77,Clean Toaster Oven Air Touch,Olsen-Sawyer,365,71,LimeGreen,40
78,Brush,"Lowe, Mosley and Rivera",273,623,RoyalBlue,42
79,Portable Kettle,Sampson-Leon,50,413,MediumAquaMarine,25
80,Rechargeable Brush Compact,Castro-Mccarty,748,326,Sienna,81
81,Fast Heater Cooker Compact Silent,"Decker, Montes and Logan",367,19,Orchid,15
82,Mini Drone X Portable,Whitney Group,352,123,BlueViolet,12
83,Heater Keyboard,Brooks and Sons,103,208,Chocolate,72
84,Wireless Fan Thermostat Max Automatic Max,Kaiser-Banks,423,759,MidnightBlue,81
85,Fast Keyboard,Lewis Ltd,998,,Cyan,64
86,Ultra Mixer Toaster Toaster Smart,Galloway and Sons,342,221,Tomato,88
87,Silent Speakerphone Scanner Monitor,Cowan Inc,593,580,Navy,20
88,Silent Scanner Monitor Treadmill,"Nichols, Howe and Miller",30,728,Wheat,60
89,Fast Vacuum Cooler,Blair-Russell,307,320,LightSalmon,5
90,Digital Trimmer,Christian-Tanner,541,488,SteelBlue,31
91,Automatic Trimmer Sense,Harrington-Valentine,405,950,SlateGray,85
92,Portable Scooter Wireless Digital,"Novak, Archer and Walton",519,495,DeepSkyBlue,36
93,Fridge Cooker,Jackson Group,393,499,Black,80
94,Scanner,"Wang, Ayala and Bowen",472,63,ForestGreen,8
95,Ultra Radio Radio,Maldonado-Ritter,382,639,Aquamarine,48
96,Router,Atkinson Inc,375,703,Gainsboro,55
97,Fast Thermostat Microphone Scooter,Shea Ltd,289,727,White,25
98,Eco Heater Toaster Stove Silent Sense,West Ltd,232,998,OldLace,20
99,Clean Blender Scale Lite,"Bell, Gamble and Barrett",241,391,Aquamarine,5
100,Smart Lamp,"Hebert, Hughes and Trujillo",71,518,Brown,3
